측정소명,년/월/일,수위(cm)
정읍시(죽림교),2021.12.31,68
정읍시(죽림교),2022.01.01,67.04
정읍시(죽림교),2022.01.02,67.04
정읍시(죽림교),2022.01.03,67
정읍시(죽림교),2022.01.04,67
정읍시(죽림교),2022.01.05,67
정읍시(죽림교),2022.01.06,67
정읍시(죽림교),2022.01.07,67
정읍시(죽림교),2022.01.08,67
정읍시(죽림교),2022.01.09,67
정읍시(죽림교),2022.01.10,67
정읍시(죽림교),2022.01.11,67
정읍시(죽림교),2022.01.12,67
정읍시(죽림교),2022.01.13,67
정읍시(죽림교),2022.01.14,67
정읍시(죽림교),2022.01.15,66.67
정읍시(죽림교),2022.01.16,66.38
정읍시(죽림교),2022.01.17,66
정읍시(죽림교),2022.01.18,66
정읍시(죽림교),2022.01.19,66
정읍시(죽림교),2022.01.20,66
정읍시(죽림교),2022.01.21,66
정읍시(죽림교),2022.01.22,66.21
정읍시(죽림교),2022.01.23,66
정읍시(죽림교),2022.01.24,66
정읍시(죽림교),2022.01.25,66.08
정읍시(죽림교),2022.01.26,66
정읍시(죽림교),2022.01.27,66.13
정읍시(죽림교),2022.01.28,66
정읍시(죽림교),2022.01.29,66.17
정읍시(죽림교),2022.01.30,66
정읍시(죽림교),2022.01.31,66
정읍시(죽림교),2022.02.01,65.96
정읍시(죽림교),2022.02.02,66
정읍시(죽림교),2022.02.03,66
정읍시(죽림교),2022.02.04,66
정읍시(죽림교),2022.02.05,70
정읍시(죽림교),2022.02.06,66.08
정읍시(죽림교),2022.02.07,66
정읍시(죽림교),2022.02.08,66.08
정읍시(죽림교),2022.02.09,66.13
정읍시(죽림교),2022.02.10,65
정읍시(죽림교),2022.02.11,65.38
정읍시(죽림교),2022.02.12,65.25
정읍시(죽림교),2022.02.13,65.08
정읍시(죽림교),2022.02.14,65.04
정읍시(죽림교),2022.02.15,65
정읍시(죽림교),2022.02.16,65.63
정읍시(죽림교),2022.02.17,65.33
정읍시(죽림교),2022.02.18,65
정읍시(죽림교),2022.02.19,65.08
정읍시(죽림교),2022.02.20,65
정읍시(죽림교),2022.02.21,65.08
정읍시(죽림교),2022.02.22,66.63
정읍시(죽림교),2022.02.23,66.29
정읍시(죽림교),2022.02.24,66.04
정읍시(죽림교),2022.02.25,66
정읍시(죽림교),2022.02.26,66.04
정읍시(죽림교),2022.02.27,66
정읍시(죽림교),2022.02.28,66.04
정읍시(죽림교),2022.03.01,66.29
정읍시(죽림교),2022.03.02,66.17
정읍시(죽림교),2022.03.03,65.92
정읍시(죽림교),2022.03.04,65.54
정읍시(죽림교),2022.03.05,65
정읍시(죽림교),2022.03.06,65.08
정읍시(죽림교),2022.03.07,66.33
정읍시(죽림교),2022.03.08,70
정읍시(죽림교),2022.03.09,67.67
정읍시(죽림교),2022.03.10,67
정읍시(죽림교),2022.03.11,67.04
정읍시(죽림교),2022.03.12,67
정읍시(죽림교),2022.03.13,68.58
정읍시(죽림교),2022.03.14,67.58
정읍시(죽림교),2022.03.15,67
정읍시(죽림교),2022.03.16,68.38
정읍시(죽림교),2022.03.17,70.38
정읍시(죽림교),2022.03.18,69.75
정읍시(죽림교),2022.03.19,74.17
정읍시(죽림교),2022.03.20,81.67
정읍시(죽림교),2022.03.21,81.63
정읍시(죽림교),2022.03.22,79.17
정읍시(죽림교),2022.03.23,77.21
정읍시(죽림교),2022.03.24,75.83
정읍시(죽림교),2022.03.25,79.92
정읍시(죽림교),2022.03.26,136.21
정읍시(죽림교),2022.03.27,112.96
정읍시(죽림교),2022.03.28,96.79
정읍시(죽림교),2022.03.29,89.42
정읍시(죽림교),2022.03.30,85.17
정읍시(죽림교),2022.03.31,82.25
정읍시(죽림교),2022.04.01,79.83
정읍시(죽림교),2022.04.02,78.04
정읍시(죽림교),2022.04.03,77.08
정읍시(죽림교),2022.04.04,75.96
정읍시(죽림교),2022.04.05,78
정읍시(죽림교),2022.04.06,78
정읍시(죽림교),2022.04.07,77.88
정읍시(죽림교),2022.04.08,77.54
정읍시(죽림교),2022.04.09,79.46
정읍시(죽림교),2022.04.10,79
정읍시(죽림교),2022.04.11,76.54
정읍시(죽림교),2022.04.12,76.25
정읍시(죽림교),2022.04.13,84.75
정읍시(죽림교),2022.04.14,79.33
정읍시(죽림교),2022.04.15,78.85
정읍시(죽림교),2022.04.16,76.92
정읍시(죽림교),2022.04.17,77.04
정읍시(죽림교),2022.04.18,77
정읍시(죽림교),2022.04.19,76
정읍시(죽림교),2022.04.20,76
정읍시(죽림교),2022.04.21,76
정읍시(죽림교),2022.04.22,76
정읍시(죽림교),2022.04.23,76
정읍시(죽림교),2022.04.24,76
정읍시(죽림교),2022.04.25,78.42
정읍시(죽림교),2022.04.26,82.92
정읍시(죽림교),2022.04.27,77.21
정읍시(죽림교),2022.04.28,77.67
정읍시(죽림교),2022.04.29,82.29
정읍시(죽림교),2022.04.30,79
정읍시(죽림교),2022.05.01,78.63
정읍시(죽림교),2022.05.02,81.63
정읍시(죽림교),2022.05.03,89.25
정읍시(죽림교),2022.05.04,80.92
정읍시(죽림교),2022.05.05,79.33
정읍시(죽림교),2022.05.06,79.5
정읍시(죽림교),2022.05.07,86.33
정읍시(죽림교),2022.05.08,80.29
정읍시(죽림교),2022.05.09,79.33
정읍시(죽림교),2022.05.10,84.83
정읍시(죽림교),2022.05.13,79.83
정읍시(죽림교),2022.05.14,79.5
정읍시(죽림교),2022.05.15,79.13
정읍시(죽림교),2022.05.16,80.46
정읍시(죽림교),2022.05.17,80.17
정읍시(죽림교),2022.05.18,81.83
정읍시(죽림교),2022.05.19,80.13
정읍시(죽림교),2022.05.20,80.58
정읍시(죽림교),2022.05.21,80.79
정읍시(죽림교),2022.05.22,80.92
정읍시(죽림교),2022.05.23,85.96
정읍시(죽림교),2022.05.24,81.58
정읍시(죽림교),2022.05.25,81.38
정읍시(죽림교),2022.05.26,82.92
정읍시(죽림교),2022.05.27,84.08
정읍시(죽림교),2022.05.28,83.79
정읍시(죽림교),2022.05.29,82.83
정읍시(죽림교),2022.05.30,80
정읍시(죽림교),2022.05.31,80.42
정읍시(죽림교),2022.06.01,80.79
정읍시(죽림교),2022.06.02,80.92
정읍시(죽림교),2022.06.03,80.38
정읍시(죽림교),2022.06.04,80.54
정읍시(죽림교),2022.06.05,96.46
정읍시(죽림교),2022.06.06,81.96
정읍시(죽림교),2022.06.07,97.67
정읍시(죽림교),2022.06.08,89.83
정읍시(죽림교),2022.06.09,83.04
정읍시(죽림교),2022.06.10,81.46
정읍시(죽림교),2022.06.11,80.63
정읍시(죽림교),2022.06.12,82.13
정읍시(죽림교),2022.06.13,81.83
정읍시(죽림교),2022.06.14,84.17
정읍시(죽림교),2022.06.15,79.54
정읍시(죽림교),2022.06.16,78.21
정읍시(죽림교),2022.06.17,79.08
정읍시(죽림교),2022.06.18,82.92
정읍시(죽림교),2022.06.19,83.54
정읍시(죽림교),2022.06.20,83.42
정읍시(죽림교),2022.06.21,83.38
정읍시(죽림교),2022.06.23,90.29
정읍시(죽림교),2022.06.24,110.79
정읍시(죽림교),2022.06.25,84.42
정읍시(죽림교),2022.06.26,83.29
정읍시(죽림교),2022.06.27,86.71
정읍시(죽림교),2022.06.28,86.79
정읍시(죽림교),2022.06.29,83.46
정읍시(죽림교),2022.06.30,80.21
정읍시(죽림교),2022.07.01,78.04
정읍시(죽림교),2022.07.02,79.79
정읍시(죽림교),2022.07.03,84.21
정읍시(죽림교),2022.07.04,81.04
정읍시(죽림교),2022.07.06,81.42
정읍시(죽림교),2022.07.07,83.08
정읍시(죽림교),2022.07.08,80.88
정읍시(죽림교),2022.07.09,79.96
정읍시(죽림교),2022.07.10,84.54
정읍시(죽림교),2022.07.11,84.71
정읍시(죽림교),2022.07.12,79.21
정읍시(죽림교),2022.07.13,80.54
정읍시(죽림교),2022.07.14,84.54
정읍시(죽림교),2022.07.15,83.42
정읍시(죽림교),2022.07.16,81.08
정읍시(죽림교),2022.07.17,80.67
정읍시(죽림교),2022.07.18,96.75
정읍시(죽림교),2022.07.19,83.13
정읍시(죽림교),2022.07.20,80.42
정읍시(죽림교),2022.07.22,77.67
정읍시(죽림교),2022.07.23,81.5
정읍시(죽림교),2022.07.24,84.04
정읍시(죽림교),2022.07.25,78.96
정읍시(죽림교),2022.07.26,77.58
정읍시(죽림교),2022.07.27,76.67
정읍시(죽림교),2022.07.28,76.04
정읍시(죽림교),2022.07.29,76.21
정읍시(죽림교),2022.07.30,83.17
정읍시(죽림교),2022.07.31,91.17
정읍시(죽림교),2022.08.01,84.71
정읍시(죽림교),2022.08.02,79.42
정읍시(죽림교),2022.08.03,84.96
정읍시(죽림교),2022.08.04,79.42
정읍시(죽림교),2022.08.05,77.83
정읍시(죽림교),2022.08.06,85.46
정읍시(죽림교),2022.08.07,92.5
정읍시(죽림교),2022.08.08,85
정읍시(죽림교),2022.08.09,83.67
정읍시(죽림교),2022.08.10,84.71
정읍시(죽림교),2022.08.11,101.25
정읍시(죽림교),2022.08.12,90
정읍시(죽림교),2022.08.13,91
정읍시(죽림교),2022.08.14,89.71
정읍시(죽림교),2022.08.15,86.67
정읍시(죽림교),2022.08.16,99.5
정읍시(죽림교),2022.08.17,84.67
