측정소명,년/월/일,수위(cm)
정읍시(상동교),2021.12.31,72
정읍시(상동교),2022.01.01,73
정읍시(상동교),2022.01.02,72.71
정읍시(상동교),2022.01.03,73
정읍시(상동교),2022.01.04,72
정읍시(상동교),2022.01.05,73
정읍시(상동교),2022.01.06,73
정읍시(상동교),2022.01.07,73
정읍시(상동교),2022.01.08,72.33
정읍시(상동교),2022.01.09,71.92
정읍시(상동교),2022.01.10,72
정읍시(상동교),2022.01.11,72
정읍시(상동교),2022.01.12,72
정읍시(상동교),2022.01.13,72
정읍시(상동교),2022.01.14,71
정읍시(상동교),2022.01.15,71.21
정읍시(상동교),2022.01.16,71.54
정읍시(상동교),2022.01.17,72
정읍시(상동교),2022.01.18,71
정읍시(상동교),2022.01.19,72
정읍시(상동교),2022.01.20,72
정읍시(상동교),2022.01.21,71
정읍시(상동교),2022.01.22,71.5
정읍시(상동교),2022.01.23,72
정읍시(상동교),2022.01.24,72
정읍시(상동교),2022.01.25,71.96
정읍시(상동교),2022.01.26,72
정읍시(상동교),2022.01.27,71.83
정읍시(상동교),2022.01.28,72
정읍시(상동교),2022.01.29,71.83
정읍시(상동교),2022.01.30,72
정읍시(상동교),2022.01.31,71.92
정읍시(상동교),2022.02.01,71.67
정읍시(상동교),2022.02.02,71.71
정읍시(상동교),2022.02.03,72
정읍시(상동교),2022.02.04,71.54
정읍시(상동교),2022.02.05,72
정읍시(상동교),2022.02.06,71.96
정읍시(상동교),2022.02.07,71.92
정읍시(상동교),2022.02.08,71.08
정읍시(상동교),2022.02.09,71.71
정읍시(상동교),2022.02.10,71.58
정읍시(상동교),2022.02.11,71.38
정읍시(상동교),2022.02.12,71.04
정읍시(상동교),2022.02.13,71
정읍시(상동교),2022.02.14,70.88
정읍시(상동교),2022.02.15,70.67
정읍시(상동교),2022.02.16,71.04
정읍시(상동교),2022.02.17,69.96
정읍시(상동교),2022.02.18,68.33
정읍시(상동교),2022.02.19,69.96
정읍시(상동교),2022.02.20,70.79
정읍시(상동교),2022.02.21,70.71
정읍시(상동교),2022.02.22,73.25
정읍시(상동교),2022.02.23,72.5
정읍시(상동교),2022.02.24,72.42
정읍시(상동교),2022.02.25,71.92
정읍시(상동교),2022.02.26,71.83
정읍시(상동교),2022.02.27,71.83
정읍시(상동교),2022.02.28,71.83
정읍시(상동교),2022.03.01,71.71
정읍시(상동교),2022.03.02,71.75
정읍시(상동교),2022.03.03,71.67
정읍시(상동교),2022.03.04,71.42
정읍시(상동교),2022.03.05,71.13
정읍시(상동교),2022.03.06,71.58
정읍시(상동교),2022.03.07,75.33
정읍시(상동교),2022.03.08,75.54
정읍시(상동교),2022.03.09,73.58
정읍시(상동교),2022.03.10,72.88
정읍시(상동교),2022.03.11,72.83
정읍시(상동교),2022.03.12,72.04
정읍시(상동교),2022.03.13,72.75
정읍시(상동교),2022.03.14,72.5
정읍시(상동교),2022.03.15,72.25
정읍시(상동교),2022.03.16,75.5
정읍시(상동교),2022.03.17,76.08
정읍시(상동교),2022.03.18,75.33
정읍시(상동교),2022.03.19,81
정읍시(상동교),2022.03.20,92.71
정읍시(상동교),2022.03.21,91.79
정읍시(상동교),2022.03.22,88.17
정읍시(상동교),2022.03.23,85.5
정읍시(상동교),2022.03.24,83.46
정읍시(상동교),2022.03.25,85.71
정읍시(상동교),2022.03.26,133.71
정읍시(상동교),2022.03.27,120.96
정읍시(상동교),2022.03.28,111.5
정읍시(상동교),2022.03.29,102.21
정읍시(상동교),2022.03.30,95.71
정읍시(상동교),2022.03.31,91.54
정읍시(상동교),2022.04.01,88
정읍시(상동교),2022.04.02,85.75
정읍시(상동교),2022.04.03,84.54
정읍시(상동교),2022.04.04,83.29
정읍시(상동교),2022.04.05,86.29
정읍시(상동교),2022.04.06,85.96
정읍시(상동교),2022.04.07,85.42
정읍시(상동교),2022.04.08,85.13
정읍시(상동교),2022.04.09,87.92
정읍시(상동교),2022.04.10,86.71
정읍시(상동교),2022.04.11,82.54
정읍시(상동교),2022.04.12,82.88
정읍시(상동교),2022.04.13,87.38
정읍시(상동교),2022.04.14,87
정읍시(상동교),2022.04.15,86.54
정읍시(상동교),2022.04.16,85.08
정읍시(상동교),2022.04.17,85.58
정읍시(상동교),2022.04.18,84.88
정읍시(상동교),2022.04.19,84
정읍시(상동교),2022.04.20,84
정읍시(상동교),2022.04.21,84
정읍시(상동교),2022.04.22,83.56
정읍시(상동교),2022.04.23,83.46
정읍시(상동교),2022.04.24,82.67
정읍시(상동교),2022.04.25,83.67
정읍시(상동교),2022.04.26,87.21
정읍시(상동교),2022.04.27,84.92
정읍시(상동교),2022.04.28,84.88
정읍시(상동교),2022.04.29,88.17
정읍시(상동교),2022.04.30,86.71
정읍시(상동교),2022.05.01,86.54
정읍시(상동교),2022.05.02,91.38
정읍시(상동교),2022.05.03,101.13
정읍시(상동교),2022.05.04,88.75
정읍시(상동교),2022.05.05,86.17
정읍시(상동교),2022.05.06,86.21
정읍시(상동교),2022.05.07,95.08
정읍시(상동교),2022.05.08,87.04
정읍시(상동교),2022.05.09,86.79
정읍시(상동교),2022.05.10,95.04
정읍시(상동교),2022.05.13,87.79
정읍시(상동교),2022.05.14,86.92
정읍시(상동교),2022.05.15,86.96
정읍시(상동교),2022.05.16,89
정읍시(상동교),2022.05.17,88.33
정읍시(상동교),2022.05.18,90.58
정읍시(상동교),2022.05.19,88.25
정읍시(상동교),2022.05.20,89.21
정읍시(상동교),2022.05.21,89.29
정읍시(상동교),2022.05.22,89.88
정읍시(상동교),2022.05.23,95.79
정읍시(상동교),2022.05.24,90.29
정읍시(상동교),2022.05.25,90.04
정읍시(상동교),2022.05.26,92.67
정읍시(상동교),2022.05.27,93.83
정읍시(상동교),2022.05.28,93.38
정읍시(상동교),2022.05.29,92.21
정읍시(상동교),2022.05.30,86.92
정읍시(상동교),2022.05.31,88.71
정읍시(상동교),2022.06.01,88.92
정읍시(상동교),2022.06.02,88.63
정읍시(상동교),2022.06.03,88.25
정읍시(상동교),2022.06.04,87.96
정읍시(상동교),2022.06.05,97.83
정읍시(상동교),2022.06.06,88.79
정읍시(상동교),2022.06.07,94.96
정읍시(상동교),2022.06.08,95.83
정읍시(상동교),2022.06.09,90.21
정읍시(상동교),2022.06.10,87.96
정읍시(상동교),2022.06.11,86.79
정읍시(상동교),2022.06.12,90.13
정읍시(상동교),2022.06.13,89.75
정읍시(상동교),2022.06.14,90.67
정읍시(상동교),2022.06.15,85.63
정읍시(상동교),2022.06.16,84.33
정읍시(상동교),2022.06.17,86.54
정읍시(상동교),2022.06.18,90.83
정읍시(상동교),2022.06.19,91.33
정읍시(상동교),2022.06.20,90.67
정읍시(상동교),2022.06.21,90.96
정읍시(상동교),2022.06.23,90.75
정읍시(상동교),2022.06.24,107.25
정읍시(상동교),2022.06.25,90.58
정읍시(상동교),2022.06.26,89.38
정읍시(상동교),2022.06.27,94.13
정읍시(상동교),2022.06.28,93.5
정읍시(상동교),2022.06.29,88.29
정읍시(상동교),2022.06.30,83.83
정읍시(상동교),2022.07.01,81.83
정읍시(상동교),2022.07.02,84.25
정읍시(상동교),2022.07.03,87.54
정읍시(상동교),2022.07.04,83.88
정읍시(상동교),2022.07.06,84.83
정읍시(상동교),2022.07.07,87.46
정읍시(상동교),2022.07.08,83.63
정읍시(상동교),2022.07.09,83.83
정읍시(상동교),2022.07.10,88.54
정읍시(상동교),2022.07.11,87.08
정읍시(상동교),2022.07.12,81.21
정읍시(상동교),2022.07.13,82.33
정읍시(상동교),2022.07.14,86.42
정읍시(상동교),2022.07.15,86.08
정읍시(상동교),2022.07.16,82.83
정읍시(상동교),2022.07.17,82
정읍시(상동교),2022.07.18,92.75
정읍시(상동교),2022.07.19,83.92
정읍시(상동교),2022.07.20,80.88
정읍시(상동교),2022.07.22,78.13
정읍시(상동교),2022.07.23,84
정읍시(상동교),2022.07.24,83
정읍시(상동교),2022.07.25,78.92
정읍시(상동교),2022.07.26,77.5
정읍시(상동교),2022.07.27,76.63
정읍시(상동교),2022.07.28,76.17
정읍시(상동교),2022.07.29,77.71
정읍시(상동교),2022.07.30,85.83
정읍시(상동교),2022.07.31,90.75
정읍시(상동교),2022.08.01,83.54
정읍시(상동교),2022.08.02,79.25
정읍시(상동교),2022.08.03,83.13
정읍시(상동교),2022.08.04,78.29
정읍시(상동교),2022.08.05,77.08
정읍시(상동교),2022.08.06,88.33
정읍시(상동교),2022.08.07,93.29
정읍시(상동교),2022.08.08,84.83
정읍시(상동교),2022.08.09,83.83
정읍시(상동교),2022.08.10,85.17
정읍시(상동교),2022.08.11,93.46
정읍시(상동교),2022.08.12,88.42
정읍시(상동교),2022.08.13,88
정읍시(상동교),2022.08.14,88.75
정읍시(상동교),2022.08.15,87.38
정읍시(상동교),2022.08.16,93.42
정읍시(상동교),2022.08.17,84.63
정읍시(상동교),2022.08.18,81.42
정읍시(상동교),2022.08.19,79.38
정읍시(상동교),2022.08.20,84.33
정읍시(상동교),2022.08.21,86.71
정읍시(상동교),2022.08.22,83
정읍시(상동교),2022.08.24,81.08
정읍시(상동교),2022.08.25,82
정읍시(상동교),2022.08.29,91.67
정읍시(상동교),2022.08.30,92.25
정읍시(상동교),2022.09.01,90.38
정읍시(상동교),2022.09.02,92.38
정읍시(상동교),2022.09.03,86.38
정읍시(상동교),2022.09.04,82.29
정읍시(상동교),2022.09.05,89.42
정읍시(상동교),2022.09.06,120.21
정읍시(상동교),2022.09.07,104.04
정읍시(상동교),2022.09.08,91.17
정읍시(상동교),2022.09.09,88.75
정읍시(상동교),2022.09.10,88.58
정읍시(상동교),2022.09.11,87.86
정읍시(상동교),2022.09.12,
정읍시(상동교),2022.09.13,86.75
정읍시(상동교),2022.09.14,83.08
정읍시(상동교),2022.09.16,86
정읍시(상동교),2022.09.17,86.04
정읍시(상동교),2022.09.18,86.54
정읍시(상동교),2022.09.19,86.25
정읍시(상동교),2022.09.20,86.63
정읍시(상동교),2022.09.21,85.63
정읍시(상동교),2022.09.22,84.92
정읍시(상동교),2022.09.23,85.17
정읍시(상동교),2022.09.24,86.13
정읍시(상동교),2022.09.25,84.79
정읍시(상동교),2022.09.26,84
정읍시(상동교),2022.09.27,84
정읍시(상동교),2022.09.28,84
정읍시(상동교),2022.09.29,84
정읍시(상동교),2022.09.30,86
정읍시(상동교),2022.10.01,80.25
정읍시(상동교),2022.10.02,78.29
정읍시(상동교),2022.10.03,77.42
정읍시(상동교),2022.10.04,76
정읍시(상동교),2022.10.05,76.42
정읍시(상동교),2022.10.06,75.33
정읍시(상동교),2022.10.07,75
정읍시(상동교),2022.10.08,75
정읍시(상동교),2022.10.09,75.13
정읍시(상동교),2022.10.10,75.63
정읍시(상동교),2022.10.11,77
정읍시(상동교),2022.10.12,75
정읍시(상동교),2022.10.13,75
정읍시(상동교),2022.10.14,74
정읍시(상동교),2022.10.15,74
정읍시(상동교),2022.10.16,73.92
정읍시(상동교),2022.10.17,74
정읍시(상동교),2022.10.18,74
정읍시(상동교),2022.10.19,73.38
정읍시(상동교),2022.10.20,74
정읍시(상동교),2022.10.21,74
정읍시(상동교),2022.10.22,73
정읍시(상동교),2022.10.23,72.71
정읍시(상동교),2022.10.24,73
정읍시(상동교),2022.10.25,73
정읍시(상동교),2022.10.26,72.67
정읍시(상동교),2022.10.27,72.38
정읍시(상동교),2022.10.28,72
정읍시(상동교),2022.10.29,72
정읍시(상동교),2022.10.30,71.88
정읍시(상동교),2022.10.31,72
정읍시(상동교),2022.11.01,71
정읍시(상동교),2022.11.02,71
정읍시(상동교),2022.11.03,71
정읍시(상동교),2022.11.04,71
정읍시(상동교),2022.11.05,71
정읍시(상동교),2022.11.06,71
정읍시(상동교),2022.11.07,71
정읍시(상동교),2022.11.08,71
정읍시(상동교),2022.11.09,71
정읍시(상동교),2022.11.10,71
정읍시(상동교),2022.11.11,71.08
정읍시(상동교),2022.11.12,72.13
정읍시(상동교),2022.11.13,77.92
정읍시(상동교),2022.11.14,73
정읍시(상동교),2022.11.15,72
정읍시(상동교),2022.11.16,72
정읍시(상동교),2022.11.17,72
정읍시(상동교),2022.11.18,72
정읍시(상동교),2022.11.22,72
정읍시(상동교),2022.11.23,72
정읍시(상동교),2022.11.24,72
정읍시(상동교),2022.11.25,72
정읍시(상동교),2022.11.26,71.83
정읍시(상동교),2022.11.27,71.75
정읍시(상동교),2022.11.28,71
정읍시(상동교),2022.11.29,88
정읍시(상동교),2022.11.30,74
정읍시(상동교),2022.12.01,75
정읍시(상동교),2022.12.02,76
정읍시(상동교),2022.12.03,74.92
정읍시(상동교),2022.12.04,74.58
정읍시(상동교),2022.12.05,74
정읍시(상동교),2022.12.06,74
정읍시(상동교),2022.12.07,73
정읍시(상동교),2022.12.08,73
정읍시(상동교),2022.12.09,73
정읍시(상동교),2022.12.10,73
정읍시(상동교),2022.12.11,72.71
정읍시(상동교),2022.12.12,73
정읍시(상동교),2022.12.13,72
정읍시(상동교),2022.12.14,72.25
정읍시(상동교),2022.12.15,72
정읍시(상동교),2022.12.16,72
정읍시(상동교),2022.12.17,71.75
정읍시(상동교),2022.12.18,71.54
정읍시(상동교),2022.12.19,71
정읍시(상동교),2022.12.20,72
정읍시(상동교),2022.12.21,71
정읍시(상동교),2022.12.22,72
정읍시(상동교),2022.12.23,72
정읍시(상동교),2022.12.24,71.83
정읍시(상동교),2022.12.25,71.04
정읍시(상동교),2022.12.26,72
정읍시(상동교),2022.12.27,61
정읍시(상동교),2022.12.28,68
정읍시(상동교),2022.12.29,72.04
정읍시(상동교),2022.12.30,72.67
정읍시(상동교),2022.12.31,73.38
정읍시(상동교),2023.01.01,73.63
정읍시(상동교),2023.01.02,73.96
정읍시(상동교),2023.01.03,73.96
정읍시(상동교),2023.01.04,73.88
정읍시(상동교),2023.01.05,74
정읍시(상동교),2023.01.06,74
정읍시(상동교),2023.01.07,73.96
정읍시(상동교),2023.01.08,74.63
정읍시(상동교),2023.01.09,75
정읍시(상동교),2023.01.10,76
정읍시(상동교),2023.01.11,76
정읍시(상동교),2023.01.12,77
정읍시(상동교),2023.01.13,76
정읍시(상동교),2023.01.14,82.25
정읍시(상동교),2023.01.15,82.08
정읍시(상동교),2023.01.16,82
정읍시(상동교),2023.01.17,82
정읍시(상동교),2023.01.18,81
정읍시(상동교),2023.01.19,80
정읍시(상동교),2023.01.20,79
정읍시(상동교),2023.01.21,78.04
정읍시(상동교),2023.01.22,77.42
정읍시(상동교),2023.01.23,76.38
정읍시(상동교),2023.01.24,75.38
정읍시(상동교),2023.01.25,76
정읍시(상동교),2023.01.26,77
정읍시(상동교),2023.01.27,75
정읍시(상동교),2023.01.28,74.33
정읍시(상동교),2023.01.29,73.79
정읍시(상동교),2023.01.30,73.71
정읍시(상동교),2023.01.31,73.75
정읍시(상동교),2023.02.01,74
정읍시(상동교),2023.02.02,73
정읍시(상동교),2023.02.03,73
정읍시(상동교),2023.02.04,72.96
정읍시(상동교),2023.02.05,73
정읍시(상동교),2023.02.06,73
정읍시(상동교),2023.02.07,73
정읍시(상동교),2023.02.08,73
정읍시(상동교),2023.02.09,73
정읍시(상동교),2023.02.10,72
정읍시(상동교),2023.02.11,72.46
정읍시(상동교),2023.02.12,72.42
정읍시(상동교),2023.02.13,73
정읍시(상동교),2023.02.14,72
정읍시(상동교),2023.02.15,72
정읍시(상동교),2023.02.16,72
정읍시(상동교),2023.02.17,72
정읍시(상동교),2023.02.18,72
정읍시(상동교),2023.02.19,71.54
정읍시(상동교),2023.02.20,72
정읍시(상동교),2023.02.21,71
정읍시(상동교),2023.02.22,72
정읍시(상동교),2023.02.23,72
정읍시(상동교),2023.02.24,72
정읍시(상동교),2023.02.25,71.58
정읍시(상동교),2023.02.26,71.75
정읍시(상동교),2023.02.27,72
정읍시(상동교),2023.02.28,71.46
정읍시(상동교),2023.03.01,71.08
정읍시(상동교),2023.03.02,72
정읍시(상동교),2023.03.03,72
정읍시(상동교),2023.03.04,71
정읍시(상동교),2023.03.05,71.08
정읍시(상동교),2023.03.06,72
정읍시(상동교),2023.03.07,72
정읍시(상동교),2023.03.08,109
정읍시(상동교),2023.03.09,84
정읍시(상동교),2023.03.10,77
정읍시(상동교),2023.03.11,75.54
정읍시(상동교),2023.03.12,76.42
정읍시(상동교),2023.03.13,75
정읍시(상동교),2023.03.14,76
정읍시(상동교),2023.03.15,75
정읍시(상동교),2023.03.17,74
정읍시(상동교),2023.03.18,73.58
정읍시(상동교),2023.03.19,73.21
정읍시(상동교),2023.03.20,73
정읍시(상동교),2023.03.21,72.83
정읍시(상동교),2023.03.22,73
정읍시(상동교),2023.03.23,73
정읍시(상동교),2023.03.24,74
정읍시(상동교),2023.03.25,72.79
정읍시(상동교),2023.03.26,72.67
정읍시(상동교),2023.03.27,73
정읍시(상동교),2023.03.28,72.79
정읍시(상동교),2023.03.29,72.88
정읍시(상동교),2023.03.30,73
정읍시(상동교),2023.03.31,102
정읍시(상동교),2023.04.01,103.21
정읍시(상동교),2023.04.02,102.88
정읍시(상동교),2023.04.04,89
정읍시(상동교),2023.04.05,80
정읍시(상동교),2023.04.06,79
정읍시(상동교),2023.04.07,82
정읍시(상동교),2023.04.08,77.67
정읍시(상동교),2023.04.09,76.96
정읍시(상동교),2023.04.10,77
정읍시(상동교),2023.04.11,76
정읍시(상동교),2023.04.12,75
정읍시(상동교),2023.04.13,74.33
정읍시(상동교),2023.04.14,74
정읍시(상동교),2023.04.15,73.92
정읍시(상동교),2023.04.16,73.46
정읍시(상동교),2023.04.17,73
정읍시(상동교),2023.04.18,72
정읍시(상동교),2023.04.19,71.83
정읍시(상동교),2023.04.20,72
정읍시(상동교),2023.04.21,72
정읍시(상동교),2023.04.22,80.58
정읍시(상동교),2023.04.23,94.83
정읍시(상동교),2023.04.24,106
정읍시(상동교),2023.04.25,96
정읍시(상동교),2023.04.26,95
정읍시(상동교),2023.04.27,97
정읍시(상동교),2023.04.28,101
정읍시(상동교),2023.04.29,93.79
정읍시(상동교),2023.04.30,95.38
정읍시(상동교),2023.05.01,96
정읍시(상동교),2023.05.02,93.5
정읍시(상동교),2023.05.03,90
정읍시(상동교),2023.05.04,90
정읍시(상동교),2023.05.05,100.54
정읍시(상동교),2023.05.06,102.58
정읍시(상동교),2023.05.07,120.5
정읍시(상동교),2023.05.08,117
정읍시(상동교),2023.05.09,104.38
정읍시(상동교),2023.05.10,97
정읍시(상동교),2023.05.11,91
정읍시(상동교),2023.05.12,89
정읍시(상동교),2023.05.13,87.88
정읍시(상동교),2023.05.14,88.04
정읍시(상동교),2023.05.15,88
정읍시(상동교),2023.05.16,87.04
정읍시(상동교),2023.05.17,86.38
정읍시(상동교),2023.05.18,87.42
정읍시(상동교),2023.05.19,85.29
정읍시(상동교),2023.05.20,87
정읍시(상동교),2023.05.21,89.75
정읍시(상동교),2023.05.22,89
정읍시(상동교),2023.05.23,86
정읍시(상동교),2023.05.24,83.46
정읍시(상동교),2023.05.25,83.17
정읍시(상동교),2023.05.26,83
정읍시(상동교),2023.05.27,83.58
정읍시(상동교),2023.05.28,86.21
정읍시(상동교),2023.05.29,118.21
정읍시(상동교),2023.05.30,108.5
정읍시(상동교),2023.05.31,115
정읍시(상동교),2023.06.01,110.54
정읍시(상동교),2023.06.02,99.83
정읍시(상동교),2023.06.03,92
정읍시(상동교),2023.06.04,91.04
정읍시(상동교),2023.06.05,96
정읍시(상동교),2023.06.06,91.33
정읍시(상동교),2023.06.07,90
정읍시(상동교),2023.06.08,89.96
정읍시(상동교),2023.06.09,92.25
정읍시(상동교),2023.06.10,93.88
정읍시(상동교),2023.06.11,93
정읍시(상동교),2023.06.12,92
정읍시(상동교),2023.06.13,94.21
정읍시(상동교),2023.06.14,91.46
정읍시(상동교),2023.06.15,88
정읍시(상동교),2023.06.16,95
정읍시(상동교),2023.06.17,94.38
정읍시(상동교),2023.06.18,93.83
정읍시(상동교),2023.06.19,93
정읍시(상동교),2023.06.20,94
정읍시(상동교),2023.06.21,93
정읍시(상동교),2023.06.22,94
정읍시(상동교),2023.06.23,93.71
정읍시(상동교),2023.06.24,93.08
정읍시(상동교),2023.06.25,94
정읍시(상동교),2023.06.26,90
정읍시(상동교),2023.06.27,87
정읍시(상동교),2023.06.28,119
정읍시(상동교),2023.06.29,142
정읍시(상동교),2023.06.30,151
정읍시(상동교),2023.07.01,139.13
정읍시(상동교),2023.07.02,134.71
정읍시(상동교),2023.07.03,133
정읍시(상동교),2023.07.04,113
정읍시(상동교),2023.07.05,121
정읍시(상동교),2023.07.06,136
정읍시(상동교),2023.07.07,135.79
정읍시(상동교),2023.07.08,137.33
정읍시(상동교),2023.07.09,138.04
정읍시(상동교),2023.07.10,137
정읍시(상동교),2023.07.11,117
정읍시(상동교),2023.07.12,119
정읍시(상동교),2023.07.13,131
정읍시(상동교),2023.07.14,132
정읍시(상동교),2023.07.15,206.08
정읍시(상동교),2023.07.16,170.25
정읍시(상동교),2023.07.17,159
정읍시(상동교),2023.07.18,182.46
정읍시(상동교),2023.07.19,183
정읍시(상동교),2023.07.20,155
정읍시(상동교),2023.07.21,116.13
정읍시(상동교),2023.07.22,111.96
