측정소명,년/월/일,수위(cm)
정읍시(정읍교),2021.12.31,83
정읍시(정읍교),2022.01.01,83
정읍시(정읍교),2022.01.02,83
정읍시(정읍교),2022.01.03,83
정읍시(정읍교),2022.01.04,83
정읍시(정읍교),2022.01.05,82
정읍시(정읍교),2022.01.06,82
정읍시(정읍교),2022.01.07,101
정읍시(정읍교),2022.01.08,130.54
정읍시(정읍교),2022.01.09,131
정읍시(정읍교),2022.01.10,131
정읍시(정읍교),2022.01.11,132
정읍시(정읍교),2022.01.12,133
정읍시(정읍교),2022.01.13,133
정읍시(정읍교),2022.01.14,132
정읍시(정읍교),2022.01.15,132
정읍시(정읍교),2022.01.16,132
정읍시(정읍교),2022.01.17,132
정읍시(정읍교),2022.01.18,132
정읍시(정읍교),2022.01.19,132
정읍시(정읍교),2022.01.20,132
정읍시(정읍교),2022.01.21,132
정읍시(정읍교),2022.01.22,132
정읍시(정읍교),2022.01.23,132
정읍시(정읍교),2022.01.24,132
정읍시(정읍교),2022.01.25,132
정읍시(정읍교),2022.01.26,132
정읍시(정읍교),2022.01.27,132
정읍시(정읍교),2022.01.28,132
정읍시(정읍교),2022.01.29,131
정읍시(정읍교),2022.01.30,131
정읍시(정읍교),2022.01.31,131
정읍시(정읍교),2022.02.01,131
정읍시(정읍교),2022.02.02,124.54
정읍시(정읍교),2022.02.03,90
정읍시(정읍교),2022.02.04,90.79
정읍시(정읍교),2022.02.05,99
정읍시(정읍교),2022.02.06,116.75
정읍시(정읍교),2022.02.07,121.17
정읍시(정읍교),2022.02.08,122
정읍시(정읍교),2022.02.09,122
정읍시(정읍교),2022.02.10,121.79
정읍시(정읍교),2022.02.11,120.38
정읍시(정읍교),2022.02.12,120
정읍시(정읍교),2022.02.13,119.5
정읍시(정읍교),2022.02.14,119
정읍시(정읍교),2022.02.15,119
정읍시(정읍교),2022.02.16,119.96
정읍시(정읍교),2022.02.17,122.29
정읍시(정읍교),2022.02.18,110.75
정읍시(정읍교),2022.02.19,103.88
정읍시(정읍교),2022.02.20,106.46
정읍시(정읍교),2022.02.21,112.58
정읍시(정읍교),2022.02.22,122.25
정읍시(정읍교),2022.02.23,115.54
정읍시(정읍교),2022.02.24,106.63
정읍시(정읍교),2022.02.25,110.63
정읍시(정읍교),2022.02.26,113.04
정읍시(정읍교),2022.02.27,120.29
정읍시(정읍교),2022.02.28,119.88
정읍시(정읍교),2022.03.01,117
정읍시(정읍교),2022.03.02,117.71
정읍시(정읍교),2022.03.03,116.29
정읍시(정읍교),2022.03.04,117.46
정읍시(정읍교),2022.03.05,122.25
정읍시(정읍교),2022.03.06,120.58
정읍시(정읍교),2022.03.07,114.88
정읍시(정읍교),2022.03.08,116.25
정읍시(정읍교),2022.03.09,117.63
정읍시(정읍교),2022.03.10,115.08
정읍시(정읍교),2022.03.11,113.21
정읍시(정읍교),2022.03.12,113
정읍시(정읍교),2022.03.13,121.17
정읍시(정읍교),2022.03.14,130.54
정읍시(정읍교),2022.03.15,128.79
정읍시(정읍교),2022.03.16,125.33
정읍시(정읍교),2022.03.17,126.54
정읍시(정읍교),2022.03.18,126.63
정읍시(정읍교),2022.03.19,130
정읍시(정읍교),2022.03.20,136.63
정읍시(정읍교),2022.03.21,137
정읍시(정읍교),2022.03.22,131.46
정읍시(정읍교),2022.03.23,131.71
정읍시(정읍교),2022.03.24,125.54
정읍시(정읍교),2022.03.25,123.04
정읍시(정읍교),2022.03.26,179.17
정읍시(정읍교),2022.03.27,170.42
정읍시(정읍교),2022.03.28,160.83
정읍시(정읍교),2022.03.29,153.04
정읍시(정읍교),2022.03.30,147.75
정읍시(정읍교),2022.03.31,144.13
정읍시(정읍교),2022.04.01,140.25
정읍시(정읍교),2022.04.02,136.67
정읍시(정읍교),2022.04.03,134.54
정읍시(정읍교),2022.04.04,132.54
정읍시(정읍교),2022.04.05,131.17
정읍시(정읍교),2022.04.06,133.04
정읍시(정읍교),2022.04.07,122.79
정읍시(정읍교),2022.04.08,104.5
정읍시(정읍교),2022.04.09,158.33
정읍시(정읍교),2022.04.10,165
정읍시(정읍교),2022.04.11,164.42
정읍시(정읍교),2022.04.12,164.38
정읍시(정읍교),2022.04.13,167.58
정읍시(정읍교),2022.04.14,170.5
정읍시(정읍교),2022.04.15,167.69
정읍시(정읍교),2022.04.16,166.42
정읍시(정읍교),2022.04.17,166
정읍시(정읍교),2022.04.18,165.88
정읍시(정읍교),2022.04.19,162.78
정읍시(정읍교),2022.04.20,162.56
정읍시(정읍교),2022.04.21,159.38
정읍시(정읍교),2022.04.22,153.44
정읍시(정읍교),2022.04.23,163.96
정읍시(정읍교),2022.04.24,160.79
정읍시(정읍교),2022.04.25,155.42
정읍시(정읍교),2022.04.26,169.92
정읍시(정읍교),2022.04.27,161.92
정읍시(정읍교),2022.04.28,151.13
정읍시(정읍교),2022.04.29,160.46
정읍시(정읍교),2022.04.30,165.46
정읍시(정읍교),2022.05.01,163.83
정읍시(정읍교),2022.05.02,156.88
정읍시(정읍교),2022.05.03,148.42
정읍시(정읍교),2022.05.04,150.08
정읍시(정읍교),2022.05.05,135.5
정읍시(정읍교),2022.05.06,126.75
정읍시(정읍교),2022.05.07,124.96
정읍시(정읍교),2022.05.08,132.42
정읍시(정읍교),2022.05.09,131.42
정읍시(정읍교),2022.05.10,150.21
정읍시(정읍교),2022.05.13,166.17
정읍시(정읍교),2022.05.14,166.71
정읍시(정읍교),2022.05.15,165.17
정읍시(정읍교),2022.05.16,162.83
정읍시(정읍교),2022.05.17,157.67
정읍시(정읍교),2022.05.18,142.17
정읍시(정읍교),2022.05.19,139.67
정읍시(정읍교),2022.05.20,140.25
정읍시(정읍교),2022.05.21,162.04
정읍시(정읍교),2022.05.22,162.13
정읍시(정읍교),2022.05.23,160.33
정읍시(정읍교),2022.05.24,165.04
정읍시(정읍교),2022.05.25,164
정읍시(정읍교),2022.05.26,165.63
정읍시(정읍교),2022.05.27,166
정읍시(정읍교),2022.05.28,166
정읍시(정읍교),2022.05.29,166
정읍시(정읍교),2022.05.30,165
정읍시(정읍교),2022.05.31,163.25
정읍시(정읍교),2022.06.01,155.17
정읍시(정읍교),2022.06.02,155.88
정읍시(정읍교),2022.06.03,157.38
정읍시(정읍교),2022.06.04,162.21
정읍시(정읍교),2022.06.05,172.58
정읍시(정읍교),2022.06.06,174.13
정읍시(정읍교),2022.06.07,177.54
정읍시(정읍교),2022.06.08,182
정읍시(정읍교),2022.06.09,171.38
정읍시(정읍교),2022.06.10,167.88
정읍시(정읍교),2022.06.11,164.92
정읍시(정읍교),2022.06.12,165
정읍시(정읍교),2022.06.13,164.96
정읍시(정읍교),2022.06.14,168.25
정읍시(정읍교),2022.06.15,170.5
정읍시(정읍교),2022.06.16,166.88
정읍시(정읍교),2022.06.17,161.58
정읍시(정읍교),2022.06.18,166.33
정읍시(정읍교),2022.06.19,167.63
정읍시(정읍교),2022.06.20,166.21
정읍시(정읍교),2022.06.21,166.25
정읍시(정읍교),2022.06.23,171.42
정읍시(정읍교),2022.06.24,186.96
정읍시(정읍교),2022.06.25,171.71
정읍시(정읍교),2022.06.26,169.13
정읍시(정읍교),2022.06.27,167.79
정읍시(정읍교),2022.06.28,166.71
정읍시(정읍교),2022.06.29,166.33
정읍시(정읍교),2022.06.30,164
정읍시(정읍교),2022.07.01,154.75
정읍시(정읍교),2022.07.02,141.5
정읍시(정읍교),2022.07.03,147.04
정읍시(정읍교),2022.07.04,165.04
정읍시(정읍교),2022.07.06,161.58
정읍시(정읍교),2022.07.07,153.63
정읍시(정읍교),2022.07.08,157.79
정읍시(정읍교),2022.07.09,154.63
정읍시(정읍교),2022.07.10,146.79
정읍시(정읍교),2022.07.11,163.83
정읍시(정읍교),2022.07.12,166.38
정읍시(정읍교),2022.07.13,166.04
정읍시(정읍교),2022.07.14,168.04
정읍시(정읍교),2022.07.15,154.88
정읍시(정읍교),2022.07.16,138.08
정읍시(정읍교),2022.07.17,132.88
정읍시(정읍교),2022.07.18,168.96
정읍시(정읍교),2022.07.19,169.92
정읍시(정읍교),2022.07.20,167.92
정읍시(정읍교),2022.07.22,168
정읍시(정읍교),2022.07.23,164.83
정읍시(정읍교),2022.07.24,168.42
정읍시(정읍교),2022.07.25,167.67
정읍시(정읍교),2022.07.26,163.08
정읍시(정읍교),2022.07.27,162.54
정읍시(정읍교),2022.07.28,157.71
정읍시(정읍교),2022.07.29,152.92
정읍시(정읍교),2022.07.30,152.75
정읍시(정읍교),2022.07.31,169.67
정읍시(정읍교),2022.08.01,170.92
정읍시(정읍교),2022.08.02,167.79
정읍시(정읍교),2022.08.03,167.54
정읍시(정읍교),2022.08.04,168.21
정읍시(정읍교),2022.08.05,166.54
정읍시(정읍교),2022.08.06,155.5
정읍시(정읍교),2022.08.07,163.38
정읍시(정읍교),2022.08.08,165.58
정읍시(정읍교),2022.08.09,164.17
정읍시(정읍교),2022.08.10,166
정읍시(정읍교),2022.08.11,177.17
정읍시(정읍교),2022.08.12,174.04
정읍시(정읍교),2022.08.13,173
정읍시(정읍교),2022.08.14,170.21
정읍시(정읍교),2022.08.15,166.75
정읍시(정읍교),2022.08.16,174.88
정읍시(정읍교),2022.08.17,170.13
정읍시(정읍교),2022.08.18,167.71
정읍시(정읍교),2022.08.19,166.33
정읍시(정읍교),2022.08.20,166.33
정읍시(정읍교),2022.08.21,165.63
정읍시(정읍교),2022.08.22,154.88
정읍시(정읍교),2022.08.24,159.58
정읍시(정읍교),2022.08.25,148.46
정읍시(정읍교),2022.08.29,167.83
정읍시(정읍교),2022.08.30,168.63
정읍시(정읍교),2022.09.01,167.63
정읍시(정읍교),2022.09.02,168
정읍시(정읍교),2022.09.03,169.67
정읍시(정읍교),2022.09.04,169.21
정읍시(정읍교),2022.09.05,173.46
정읍시(정읍교),2022.09.06,198.58
정읍시(정읍교),2022.09.07,176.08
정읍시(정읍교),2022.09.08,172.46
정읍시(정읍교),2022.09.09,171.08
정읍시(정읍교),2022.09.10,170.54
정읍시(정읍교),2022.09.11,169.5
정읍시(정읍교),2022.09.12,
정읍시(정읍교),2022.09.13,168
정읍시(정읍교),2022.09.14,166.79
정읍시(정읍교),2022.09.16,158.79
정읍시(정읍교),2022.09.17,157.88
정읍시(정읍교),2022.09.18,165.63
정읍시(정읍교),2022.09.19,165.33
정읍시(정읍교),2022.09.20,165.04
정읍시(정읍교),2022.09.21,165.88
정읍시(정읍교),2022.09.22,165.58
정읍시(정읍교),2022.09.23,166.25
정읍시(정읍교),2022.09.24,167
정읍시(정읍교),2022.09.25,167
정읍시(정읍교),2022.09.26,167
정읍시(정읍교),2022.09.27,167
정읍시(정읍교),2022.09.28,166
정읍시(정읍교),2022.09.29,167
정읍시(정읍교),2022.09.30,167
정읍시(정읍교),2022.10.01,168.29
정읍시(정읍교),2022.10.02,167.79
정읍시(정읍교),2022.10.03,167
정읍시(정읍교),2022.10.04,167
정읍시(정읍교),2022.10.05,168.25
정읍시(정읍교),2022.10.06,167.13
정읍시(정읍교),2022.10.07,167
정읍시(정읍교),2022.10.08,166
정읍시(정읍교),2022.10.09,166.21
정읍시(정읍교),2022.10.10,167.71
정읍시(정읍교),2022.10.11,168
정읍시(정읍교),2022.10.12,167
정읍시(정읍교),2022.10.13,166
정읍시(정읍교),2022.10.14,166
정읍시(정읍교),2022.10.15,166
정읍시(정읍교),2022.10.16,166
