측정소명,년/월/일,수위(cm)
정읍시(거산교),2021.12.31,-25
정읍시(거산교),2022.01.01,-32.42
정읍시(거산교),2022.01.02,-30.58
정읍시(거산교),2022.01.03,-23
정읍시(거산교),2022.01.04,-46
정읍시(거산교),2022.01.05,-48
정읍시(거산교),2022.01.06,-35
정읍시(거산교),2022.01.07,-30
정읍시(거산교),2022.01.08,-33.17
정읍시(거산교),2022.01.09,-37.17
정읍시(거산교),2022.01.10,-42
정읍시(거산교),2022.01.11,-41
정읍시(거산교),2022.01.12,-23
정읍시(거산교),2022.01.13,-51
정읍시(거산교),2022.01.14,-48
정읍시(거산교),2022.01.15,-42.38
정읍시(거산교),2022.01.16,-42
정읍시(거산교),2022.01.17,-30
정읍시(거산교),2022.01.18,-50
정읍시(거산교),2022.01.19,-23
정읍시(거산교),2022.01.20,-52
정읍시(거산교),2022.01.21,-24
정읍시(거산교),2022.01.22,-45.5
정읍시(거산교),2022.01.23,-52
정읍시(거산교),2022.01.24,-39.21
정읍시(거산교),2022.01.25,-38.92
정읍시(거산교),2022.01.26,-53
정읍시(거산교),2022.01.27,-34.75
정읍시(거산교),2022.01.28,-49
정읍시(거산교),2022.01.29,-45.96
정읍시(거산교),2022.01.30,-53
정읍시(거산교),2022.01.31,-43.67
정읍시(거산교),2022.02.01,-39.88
정읍시(거산교),2022.02.02,-43.92
정읍시(거산교),2022.02.03,-53
정읍시(거산교),2022.02.04,-44.04
정읍시(거산교),2022.02.05,-54
정읍시(거산교),2022.02.06,-42.75
정읍시(거산교),2022.02.07,-36.67
정읍시(거산교),2022.02.08,-40.21
정읍시(거산교),2022.02.09,-40.13
정읍시(거산교),2022.02.10,-41
정읍시(거산교),2022.02.11,-46.83
정읍시(거산교),2022.02.12,-41.46
정읍시(거산교),2022.02.13,-45.29
정읍시(거산교),2022.02.14,-43.75
정읍시(거산교),2022.02.15,-40.33
정읍시(거산교),2022.02.16,-43.42
정읍시(거산교),2022.02.17,-41.88
정읍시(거산교),2022.02.18,-44.33
정읍시(거산교),2022.02.19,-43.96
정읍시(거산교),2022.02.20,-41.88
정읍시(거산교),2022.02.21,-45.38
정읍시(거산교),2022.02.22,-41.88
정읍시(거산교),2022.02.23,-46.58
정읍시(거산교),2022.02.24,-45.63
정읍시(거산교),2022.02.25,-38.04
정읍시(거산교),2022.02.26,-45.58
정읍시(거산교),2022.02.27,-45.17
정읍시(거산교),2022.02.28,-41.88
정읍시(거산교),2022.03.01,153.17
정읍시(거산교),2022.03.02,155.83
정읍시(거산교),2022.03.03,159.63
정읍시(거산교),2022.03.04,151.21
정읍시(거산교),2022.03.05,154.13
정읍시(거산교),2022.03.06,158.92
정읍시(거산교),2022.03.07,159.83
정읍시(거산교),2022.03.08,154.42
정읍시(거산교),2022.03.09,153.75
정읍시(거산교),2022.03.10,160.5
정읍시(거산교),2022.03.11,155.21
정읍시(거산교),2022.03.12,156
정읍시(거산교),2022.03.13,156.83
정읍시(거산교),2022.03.14,158.08
정읍시(거산교),2022.03.15,159.33
정읍시(거산교),2022.03.16,155.04
정읍시(거산교),2022.03.17,155.71
정읍시(거산교),2022.03.18,159.33
정읍시(거산교),2022.03.19,160.88
정읍시(거산교),2022.03.20,159.79
정읍시(거산교),2022.03.21,163.46
정읍시(거산교),2022.03.22,156.46
정읍시(거산교),2022.03.23,159.54
정읍시(거산교),2022.03.24,158.42
정읍시(거산교),2022.03.25,166.5
정읍시(거산교),2022.03.26,184.54
정읍시(거산교),2022.03.27,178.25
정읍시(거산교),2022.03.28,166.42
정읍시(거산교),2022.03.29,164.96
정읍시(거산교),2022.03.30,164.63
정읍시(거산교),2022.03.31,163.29
정읍시(거산교),2022.04.01,159.13
정읍시(거산교),2022.04.02,159.88
정읍시(거산교),2022.04.03,162.88
정읍시(거산교),2022.04.04,157.25
정읍시(거산교),2022.04.05,158.88
정읍시(거산교),2022.04.06,160.29
정읍시(거산교),2022.04.07,155.33
정읍시(거산교),2022.04.08,160.75
정읍시(거산교),2022.04.09,154.25
정읍시(거산교),2022.04.10,160.33
정읍시(거산교),2022.04.11,154.25
정읍시(거산교),2022.04.12,162.17
정읍시(거산교),2022.04.13,158.67
정읍시(거산교),2022.04.14,164.17
정읍시(거산교),2022.04.15,166.31
정읍시(거산교),2022.04.16,233.38
정읍시(거산교),2022.04.17,166.13
정읍시(거산교),2022.04.18,158.88
정읍시(거산교),2022.04.19,207.56
정읍시(거산교),2022.04.20,212
정읍시(거산교),2022.04.21,263
정읍시(거산교),2022.04.22,251.67
정읍시(거산교),2022.04.23,185.46
정읍시(거산교),2022.04.24,243.92
정읍시(거산교),2022.04.25,256.5
정읍시(거산교),2022.04.26,212.71
정읍시(거산교),2022.04.27,236.38
정읍시(거산교),2022.04.28,258.25
정읍시(거산교),2022.04.29,244.17
정읍시(거산교),2022.04.30,237.21
정읍시(거산교),2022.05.01,230.71
정읍시(거산교),2022.05.02,219.92
정읍시(거산교),2022.05.03,244.5
정읍시(거산교),2022.05.04,268.71
정읍시(거산교),2022.05.05,236.29
정읍시(거산교),2022.05.06,243.63
정읍시(거산교),2022.05.07,249.92
정읍시(거산교),2022.05.08,254.46
정읍시(거산교),2022.05.09,246.92
정읍시(거산교),2022.05.10,273
정읍시(거산교),2022.05.13,264.08
정읍시(거산교),2022.05.14,260.13
정읍시(거산교),2022.05.15,259.63
정읍시(거산교),2022.05.16,259.25
정읍시(거산교),2022.05.17,259.58
정읍시(거산교),2022.05.18,268.75
정읍시(거산교),2022.05.19,266.71
정읍시(거산교),2022.05.20,263.21
정읍시(거산교),2022.05.21,265.38
정읍시(거산교),2022.05.22,264.71
정읍시(거산교),2022.05.23,262.79
정읍시(거산교),2022.05.24,263.79
정읍시(거산교),2022.05.25,261.88
정읍시(거산교),2022.05.26,265.04
정읍시(거산교),2022.05.27,264.29
정읍시(거산교),2022.05.28,263.75
정읍시(거산교),2022.05.29,265.38
정읍시(거산교),2022.05.30,269.63
정읍시(거산교),2022.05.31,270.25
정읍시(거산교),2022.06.01,267.71
정읍시(거산교),2022.06.02,262.58
정읍시(거산교),2022.06.03,263.83
정읍시(거산교),2022.06.04,263.29
정읍시(거산교),2022.06.05,277
정읍시(거산교),2022.06.06,291.96
정읍시(거산교),2022.06.07,283.54
정읍시(거산교),2022.06.08,278.04
정읍시(거산교),2022.06.09,270.21
정읍시(거산교),2022.06.10,258.96
정읍시(거산교),2022.06.11,265.04
정읍시(거산교),2022.06.12,266.17
정읍시(거산교),2022.06.13,270.29
정읍시(거산교),2022.06.14,275.75
정읍시(거산교),2022.06.15,275.29
정읍시(거산교),2022.06.16,261.83
정읍시(거산교),2022.06.17,254
정읍시(거산교),2022.06.18,253.67
정읍시(거산교),2022.06.19,252.92
정읍시(거산교),2022.06.20,253.5
정읍시(거산교),2022.06.21,251.79
정읍시(거산교),2022.06.23,256.38
정읍시(거산교),2022.06.24,270.17
