측정소명,년/월/일,수위(cm)
정읍시(정우교),2021.12.31,114
정읍시(정우교),2022.01.01,127.54
정읍시(정우교),2022.01.02,129.83
정읍시(정우교),2022.01.03,139
정읍시(정우교),2022.01.04,133
정읍시(정우교),2022.01.05,127
정읍시(정우교),2022.01.06,114
정읍시(정우교),2022.01.07,139
정읍시(정우교),2022.01.08,126.04
정읍시(정우교),2022.01.09,126.21
정읍시(정우교),2022.01.10,111
정읍시(정우교),2022.01.11,138
정읍시(정우교),2022.01.12,114
정읍시(정우교),2022.01.13,116
정읍시(정우교),2022.01.14,125
정읍시(정우교),2022.01.15,118.88
정읍시(정우교),2022.01.16,117.88
정읍시(정우교),2022.01.17,107
정읍시(정우교),2022.01.18,116
정읍시(정우교),2022.01.19,136
정읍시(정우교),2022.01.20,111
정읍시(정우교),2022.01.21,136
정읍시(정우교),2022.01.22,115.13
정읍시(정우교),2022.01.23,110
정읍시(정우교),2022.01.24,123.71
정읍시(정우교),2022.01.25,121.46
정읍시(정우교),2022.01.26,104
정읍시(정우교),2022.01.27,123.88
정읍시(정우교),2022.01.28,125
정읍시(정우교),2022.01.29,113.08
정읍시(정우교),2022.01.30,108
정읍시(정우교),2022.01.31,118.5
정읍시(정우교),2022.02.01,115.96
정읍시(정우교),2022.02.02,118.42
정읍시(정우교),2022.02.03,105
정읍시(정우교),2022.02.04,114.71
정읍시(정우교),2022.02.05,102
정읍시(정우교),2022.02.06,119.54
정읍시(정우교),2022.02.07,122.88
정읍시(정우교),2022.02.08,116.38
정읍시(정우교),2022.02.09,118.54
정읍시(정우교),2022.02.10,119.79
정읍시(정우교),2022.02.11,112.67
정읍시(정우교),2022.02.12,114.13
정읍시(정우교),2022.02.13,115.46
정읍시(정우교),2022.02.14,111.88
정읍시(정우교),2022.02.15,121.08
정읍시(정우교),2022.02.16,114.38
정읍시(정우교),2022.02.17,112.83
정읍시(정우교),2022.02.18,113.25
정읍시(정우교),2022.02.19,113.92
정읍시(정우교),2022.02.20,116.29
정읍시(정우교),2022.02.21,112.04
정읍시(정우교),2022.02.22,116.29
정읍시(정우교),2022.02.23,112.58
정읍시(정우교),2022.02.24,113.88
정읍시(정우교),2022.02.25,119.33
정읍시(정우교),2022.02.26,110.25
정읍시(정우교),2022.02.27,111.96
정읍시(정우교),2022.02.28,117.88
정읍시(정우교),2022.03.01,113.5
정읍시(정우교),2022.03.02,114.04
정읍시(정우교),2022.03.03,114.25
정읍시(정우교),2022.03.04,111.42
정읍시(정우교),2022.03.05,109.42
정읍시(정우교),2022.03.06,117
정읍시(정우교),2022.03.07,116.54
정읍시(정우교),2022.03.08,118.83
정읍시(정우교),2022.03.09,118.04
정읍시(정우교),2022.03.10,126.29
정읍시(정우교),2022.03.11,126.17
정읍시(정우교),2022.03.12,128.71
정읍시(정우교),2022.03.13,131.21
정읍시(정우교),2022.03.14,135.38
정읍시(정우교),2022.03.15,116.08
정읍시(정우교),2022.03.16,116.83
정읍시(정우교),2022.03.17,111.79
정읍시(정우교),2022.03.18,121
정읍시(정우교),2022.03.19,126.67
정읍시(정우교),2022.03.20,140.08
정읍시(정우교),2022.03.21,146.46
정읍시(정우교),2022.03.22,145.96
정읍시(정우교),2022.03.23,146.29
정읍시(정우교),2022.03.24,146.29
정읍시(정우교),2022.03.25,145.96
정읍시(정우교),2022.03.26,159.58
정읍시(정우교),2022.03.27,149.96
정읍시(정우교),2022.03.28,143.88
정읍시(정우교),2022.03.29,146.92
정읍시(정우교),2022.03.30,146.79
정읍시(정우교),2022.03.31,142.96
정읍시(정우교),2022.04.01,142.54
정읍시(정우교),2022.04.02,150.88
정읍시(정우교),2022.04.03,153.71
정읍시(정우교),2022.04.04,154.54
정읍시(정우교),2022.04.05,153.92
정읍시(정우교),2022.04.06,152.5
정읍시(정우교),2022.04.07,152.79
정읍시(정우교),2022.04.08,153.38
정읍시(정우교),2022.04.09,152.17
정읍시(정우교),2022.04.10,154.29
정읍시(정우교),2022.04.11,157.08
정읍시(정우교),2022.04.12,158.75
정읍시(정우교),2022.04.13,158.04
정읍시(정우교),2022.04.14,163.92
정읍시(정우교),2022.04.15,161.54
정읍시(정우교),2022.04.16,163.96
정읍시(정우교),2022.04.17,158.25
정읍시(정우교),2022.04.18,158.88
정읍시(정우교),2022.04.19,160
정읍시(정우교),2022.04.20,158.11
정읍시(정우교),2022.04.21,152.5
정읍시(정우교),2022.04.22,146.67
정읍시(정우교),2022.04.23,169
정읍시(정우교),2022.04.24,153.17
정읍시(정우교),2022.04.25,145.88
정읍시(정우교),2022.04.26,159
정읍시(정우교),2022.04.27,161.04
정읍시(정우교),2022.04.28,158.88
정읍시(정우교),2022.04.29,164.67
정읍시(정우교),2022.04.30,164.75
정읍시(정우교),2022.05.01,166
정읍시(정우교),2022.05.02,168.42
정읍시(정우교),2022.05.03,168.25
정읍시(정우교),2022.05.04,169.46
정읍시(정우교),2022.05.05,167.29
정읍시(정우교),2022.05.06,167.42
정읍시(정우교),2022.05.07,171.29
정읍시(정우교),2022.05.08,170.54
정읍시(정우교),2022.05.09,168.92
정읍시(정우교),2022.05.10,170.54
정읍시(정우교),2022.05.13,170.04
정읍시(정우교),2022.05.14,169.17
정읍시(정우교),2022.05.15,169.04
정읍시(정우교),2022.05.16,168.42
정읍시(정우교),2022.05.17,168.58
정읍시(정우교),2022.05.18,166.63
정읍시(정우교),2022.05.19,165.33
정읍시(정우교),2022.05.20,170.13
정읍시(정우교),2022.05.21,172.25
정읍시(정우교),2022.05.22,169.79
정읍시(정우교),2022.05.23,168.5
정읍시(정우교),2022.05.24,170.46
정읍시(정우교),2022.05.25,169.21
정읍시(정우교),2022.05.26,170.04
정읍시(정우교),2022.05.27,170.83
정읍시(정우교),2022.05.28,170.08
정읍시(정우교),2022.05.29,169.71
정읍시(정우교),2022.05.30,171.38
정읍시(정우교),2022.05.31,171.58
정읍시(정우교),2022.06.01,171.08
정읍시(정우교),2022.06.02,174.25
정읍시(정우교),2022.06.03,182.54
정읍시(정우교),2022.06.04,183.17
정읍시(정우교),2022.06.05,191.63
정읍시(정우교),2022.06.06,183.08
정읍시(정우교),2022.06.07,184.25
정읍시(정우교),2022.06.08,184.83
정읍시(정우교),2022.06.09,174.21
정읍시(정우교),2022.06.10,172.38
정읍시(정우교),2022.06.11,172.25
정읍시(정우교),2022.06.12,172.42
정읍시(정우교),2022.06.13,170.58
정읍시(정우교),2022.06.14,173.13
정읍시(정우교),2022.06.15,170.21
정읍시(정우교),2022.06.16,163.5
정읍시(정우교),2022.06.17,165.17
정읍시(정우교),2022.06.18,163.88
정읍시(정우교),2022.06.19,166.46
정읍시(정우교),2022.06.20,178.83
정읍시(정우교),2022.06.21,181.67
정읍시(정우교),2022.06.23,172.13
정읍시(정우교),2022.06.24,220.38
정읍시(정우교),2022.06.25,135
정읍시(정우교),2022.06.26,151.04
정읍시(정우교),2022.06.27,161.71
정읍시(정우교),2022.06.28,159.63
정읍시(정우교),2022.06.29,163.21
정읍시(정우교),2022.06.30,162.96
정읍시(정우교),2022.07.01,175
정읍시(정우교),2022.07.02,167.88
정읍시(정우교),2022.07.03,170.79
정읍시(정우교),2022.07.04,166.58
정읍시(정우교),2022.07.06,163.54
정읍시(정우교),2022.07.07,161.08
정읍시(정우교),2022.07.08,166.21
정읍시(정우교),2022.07.09,165.04
정읍시(정우교),2022.07.10,165.58
정읍시(정우교),2022.07.11,163.71
정읍시(정우교),2022.07.12,163.67
정읍시(정우교),2022.07.13,164.21
정읍시(정우교),2022.07.14,165.71
정읍시(정우교),2022.07.15,166.63
정읍시(정우교),2022.07.16,161.5
정읍시(정우교),2022.07.17,161.92
정읍시(정우교),2022.07.18,176.75
정읍시(정우교),2022.07.19,167.04
정읍시(정우교),2022.07.20,158.46
정읍시(정우교),2022.07.22,168.96
정읍시(정우교),2022.07.23,163.33
정읍시(정우교),2022.07.24,162.79
정읍시(정우교),2022.07.25,165.38
정읍시(정우교),2022.07.26,173.08
정읍시(정우교),2022.07.27,173.83
정읍시(정우교),2022.07.28,173.71
정읍시(정우교),2022.07.29,174.67
정읍시(정우교),2022.07.30,172.08
정읍시(정우교),2022.07.31,164.33
정읍시(정우교),2022.08.01,166.13
정읍시(정우교),2022.08.02,164.88
정읍시(정우교),2022.08.03,161
정읍시(정우교),2022.08.04,165.21
정읍시(정우교),2022.08.05,153.92
정읍시(정우교),2022.08.06,134.92
정읍시(정우교),2022.08.07,145.04
정읍시(정우교),2022.08.08,129.71
정읍시(정우교),2022.08.09,139.67
정읍시(정우교),2022.08.10,151.33
정읍시(정우교),2022.08.11,175.38
정읍시(정우교),2022.08.12,140.21
정읍시(정우교),2022.08.13,132
정읍시(정우교),2022.08.14,148.21
정읍시(정우교),2022.08.15,151.96
정읍시(정우교),2022.08.16,159.46
정읍시(정우교),2022.08.17,161
정읍시(정우교),2022.08.18,164.79
정읍시(정우교),2022.08.19,162.46
정읍시(정우교),2022.08.20,156.75
정읍시(정우교),2022.08.21,158.71
정읍시(정우교),2022.08.22,175.83
정읍시(정우교),2022.08.24,163.54
정읍시(정우교),2022.08.25,158.88
